OBJECTID,Shape_Area,MIN,MAX,RANGE,MEAN,STD,VOLUME,CENTROID_X,CENTROID_Y,Width,Length,Throat,Class,Type,New_Veg_Area,,,,,,,,,
29,1255,-0.008,1.182,1.19,0.593555,0.275068,744.910939,381677.9376,3859532.439,36,73,26,1,1,0.01,,,,,,,,,
27,245,0.172,0.612,0.44,0.37714,0.089796,92.399392,381852.4483,3859654.153,23,19.6,19.3,1,1,0.01,,,,,,,,,
41,539,-0.012,1.840368,1.852368,0.624696,0.271054,336.711144,385081.0918,3862409.036,15,64.8,15,1,1,0.01,,100121.23,,,,,,,
42,311,0.131,1.317,1.186,0.701086,0.265011,218.037836,385321.7338,3862587.633,15,31.2,15,1,1,0.01,,1501798.587,,,,,,,
55,8158,-0.012,4.078609,4.090609,1.223339,0.81908,9979.998521,389213.5648,3866378.546,257.4,132.6,40.7,1,1,0.01,,1252439.53,8%,,,,,,
72,5663,-0.056,5.027083,5.083083,1.160427,0.833085,6571.496023,390295.2088,3867445.162,233,93,69,1,1,0.01,,,,,,,,,
73,4746,-0.036,2.495,2.531,1.171052,0.550885,5557.814608,390977.2425,3868133.558,98.7,144.5,32,1,1,0.01,,,,,,,,,
74,1309,-0.007,3.047299,3.054299,0.979298,0.621607,1281.900885,391340.0971,3868421.106,46.3,65.6,22.9,1,1,0.01,,,,,,,,,
23,222,0.029,1.419106,1.390106,0.450645,0.297408,100.043193,391391.4996,3868456.245,15,31.6,15,1,1,0.01,,2823,95948,-0.293,105.868093,106.161093,35.25066,20.767337,109092.4378
22,159,0.011,0.753443,0.742443,0.301134,0.167795,47.880315,391424.8645,3868493.077,15.7,30.3,10,1,1,0.01,,2605,562888.53,-8.025678,137.118694,145.144372,41.90415708,23.205355,733805.9275
75,543,-0.125,3.09017,3.21517,0.832269,0.62199,451.922193,391564.805,3868640.344,24.5,49.8,12,1,1,0.01,,794,433855,-3.011,43.330287,46.341287,13.16765255,6.686872,514895.1836
77,2700,0.003,3.497,3.494,1.112011,0.735333,3002.429179,391585.14,3868703.378,54,124,32.5,1,1,0.01,,236,137881,-0.984211,14.387,15.371211,2.794601,1.709248,116652.1169
20,155,0.104,0.62105,0.51705,0.420327,0.097495,65.150706,391911.217,3868955.787,11.6,20.5,11.6,1,1,0.01,,107,21867,-0.989,11.787659,12.776659,3.602908,1.915244,27352.92145
19,256,0.014,1.323,1.309,0.601929,0.270624,154.09375,391986.201,3869026.37,17.6,24.8,13.8,1,1,0.01,,,,,,,,,
18,1580,0.042,2.073682,2.031682,0.494582,0.277658,781.439614,393094.7221,3870076.798,94.4,52.1,16,1,1,0.01,,,1252439.53,,,,,,
86,632,0.002,2.382853,2.380852,0.954172,0.582585,603.036962,393293.9195,3870223.394,25.6,57.13,17.9,1,1,0.01,,,2%,,,,,,
87,524,-0.039,1.882454,1.921454,0.751103,0.459054,393.578112,393340.9751,3870271.683,23.8,53.2,12.8,1,1,0.01,,,11%,,,,,,
88,6563,-0.062,3.95511,4.017109,1.091355,0.683775,7162.564226,393464.2618,3870430.677,206.8,113.8,67,1,1,0.01,,,35%,,,,,,
90,2778,-0.081,3.005261,3.086261,1.19056,0.657948,3307.374822,393790.9213,3870699.531,55.3,140.6,32.6,1,1,0.01,,,45%,,,,,,
89,197,0.033,1.612913,1.579913,0.83217,0.391741,163.937532,393847.3298,3870722.479,12.9,26.2,11.2,1,1,0.01,,,8%,,,,,,
91,1444,-0.091,2.82,2.911,1.046438,0.592081,1511.055965,393876.5505,3870770.556,35.73,97.9,24.6,1,1,0.01,,,,,,,,,
92,1623,-0.057,2.723309,2.780308,0.883618,0.491958,1434.112797,393970.6216,3870851.199,39.2,80.4,18,1,1,0.01,,,,,,,,,
17,1308,-0.017,2.377417,2.394417,0.695384,0.380228,909.561901,394040.6551,3870899.157,44.28,101.74,35.2,1,1,0.01,,,,,,,,,
